id_mostra,ruta_imatges,lot,M_aire(g),M_aigua(g),ge,MS1,MS2,MS3,h2,Volum,densitat,canal_NIR_raw,ref_NIR,divisió,y_1_norm,y_2_norm,y1_y2_norm
118,p4_53.png,L4,78.67,15,1.23558976,53.05311089,53.0394393,54.66679884,18.8,198.2204788,0.3968812934,60285,15926,3.785319603,0.701,0.5088,1.377751572
119,p4_54.png,L4,183.53,15.9,1.094851757,23.35176276,23.34372069,23.95984954,18.5,165.1837323,1.111065826,37314,9974.2,3.741051914,0.6106,0.5856,1.042691257
120,p4_55.png,L4,220.00,12.3,1.059220029,15.8320429,15.8254261,16.18553385,18.9,209.2327276,1.051460747,55034,21299,2.583877177,0.5837,0.5283,1.10486466
121,p4_56.png,L4,111.62,9.4,1.091958521,22.74117424,22.7332479,23.32858826,17.8,88.09799058,1.266998251,58178,19241,3.02364742,0.6299,0.5262,1.197073356
122,p4_57.png,L4,113.12,8.7,1.083317372,20.91754622,20.90996552,21.44321751,18.1,121.134737,0.9338361791,52134,18160,2.870814978,0.5931,0.4722,1.256035578
123,p4_58.png,L4,100.81,7.5,1.080377237,20.29706013,20.28959704,20.80172357,18,110.1224882,0.9154351815,58690,17608,3.333144025,0.5761,0.5574,1.033548619
124,p4_59.png,L4,233.00,14.2,1.064899452,17.03062826,17.02378428,17.42469982,18.9,209.2327276,1.113592518,20231,6834,2.960345332,0.6002,0.5482,1.094855892
125,p4_60.png,L4,73.73,6.5,1.096683028,23.73823432,23.73011899,24.35940589,17.3,33.03674647,2.231757297,60793,30190,2.013680026,0.5875,0.5064,1.160150079
126,p4_61.png,L4,271.00,15.9,1.062328499,16.48805435,16.48131321,16.86375594,19.4,264.2939717,1.025373368,28764,5767.6,4.987169707,0.5674,0.5204,1.090315142
127,p4_62.png,L4,152.08,10.8,1.076443941,19.46697733,19.45967157,19.94353658,17.9,99.1102394,1.534452958,48917,18405,2.657810378,0.6373,0.5943,1.07235403
128,p4_63.png,L4,171.57,12.61,1.079328133,20.07565716,20.06823603,20.57282453,18.3,143.1592347,1.198455694,17862,5880,3.037755102,0.5842,0.5754,1.015293709
129,p4_64.png,L4,73.97,6.8,1.101235671,24.69902394,24.69072651,25.35272506,17.4,44.04899529,1.679266451,58147,20214,2.876570694,0.6768,0.5234,1.293083684
130,p4_65.png,L4,139.28,9.8,1.075687365,19.30730948,19.30003398,19.77846284,18.2,132.1469859,1.05397788,54451,18070,3.013337023,0.6146,0.504,1.219444444
131,p4_66.png,L4,176.41,10.02,1.060219965,16.04306944,16.03641264,16.40370514,18.6,176.1959812,1.001214664,31359,11511,2.724263748,0.6646,0.4746,1.400337126
132,p4_67.png,L4,126.65,9.66,1.08257116,20.76006559,20.75251474,21.28040504,18.1,121.134737,1.045529987,53420,18525,2.883670715,0.597,0.5106,1.169212691
133,p4_68.png,L4,201.28,13.31,1.070809172,18.27781559,18.27073522,18.71411328,18.7,187.20823,1.075166407,50684,14807,3.42297562,0.6027,0.5153,1.169609936
134,p4_69.png,L4,100.43,7.8,1.084205981,21.10507818,21.09746195,21.63709876,17.8,88.09799058,1.139980598,55277,17395,3.177752228,0.6079,0.5916,1.0275524
